math_skill,programming_skill,communication_skill,creativity,analytical_thinking,memory,attention_to_detail,teamwork,leadership,stress_tolerance,adaptability,curiosity,math_interest,physics_interest,chemistry_interest,biology_interest,it_interest,economics_interest,humanities_interest,art_interest,sports_interest,desired_salary,preferred_work_env,work_life_balance,chosen_field
4.3,4.8,2.6,3.3,4.4,3.1,5.0,1.1,3.7,1.4,2.5,4.1,4.5,1.9,2.3,3.7,4.4,3.2,2.0,1.8,5.0,208526.3560043105,1,3.4142444198710993,Data Science
4.2,5.0,2.9,3.0,4.4,2.9,3.9,2.6,3.2,2.9,3.8,2.7,4.4,3.3,5.0,2.2,5.0,1.8,2.2,2.0,2.2,211459.1571836995,1,3.9799173069688045,Data Science
5.0,4.2,2.9,3.9,5.0,3.1,4.8,4.5,3.3,3.9,3.6,4.0,4.0,3.2,3.5,3.5,5.0,3.4,1.2,2.6,2.1,148527.98782215832,2,3.1108537871581117,Computer Science
4.6,4.8,2.8,3.1,4.5,4.0,5.0,3.4,3.6,2.4,3.9,3.6,4.1,1.2,1.8,2.3,5.0,4.6,1.7,2.0,3.3,180546.59290829513,1,4.244747267179263,Data Science
4.9,4.2,3.5,3.4,4.6,3.6,3.9,5.0,2.0,1.8,4.2,3.8,4.8,3.6,3.0,2.1,4.7,2.3,2.7,2.1,2.2,165537.6371256153,1,3.9910730731803397,Data Science
5.0,4.2,3.4,3.9,4.9,4.2,4.1,2.3,4.4,1.0,4.6,2.7,4.5,2.3,3.0,4.3,5.0,3.5,2.1,1.3,2.2,164555.94435159746,2,3.8661411635430714,Data Science
3.4,4.7,3.1,3.7,4.4,3.2,4.1,2.4,2.1,4.5,3.4,3.2,4.1,2.8,2.0,2.5,4.2,4.6,1.5,1.7,1.7,145295.7542288229,3,3.7734047806217275,Data Science
5.0,4.9,2.7,2.9,4.8,1.7,5.0,4.2,2.5,1.3,4.4,2.9,5.0,1.4,2.4,3.0,4.7,2.5,2.4,1.6,2.9,185413.30342703545,2,3.9115510672469993,Software Engineering
4.7,4.6,3.2,3.2,5.0,2.9,4.8,2.4,3.4,4.3,1.0,2.3,4.8,4.2,3.2,3.0,5.0,4.3,1.4,2.3,3.4,257336.9718306159,1,3.1106284031658005,Data Science
5.0,4.9,3.5,3.5,4.9,2.7,3.5,3.0,3.4,4.1,1.6,2.9,4.5,1.9,3.5,3.7,4.6,5.0,1.8,1.9,2.5,143302.541702018,1,3.0527796054129146,Data Science
5.0,5.0,3.8,3.3,4.5,2.2,4.0,2.7,5.0,2.8,1.8,3.0,4.6,3.0,3.8,3.1,5.0,2.2,3.2,2.4,3.4,144696.9647784014,3,5.96310464676419,Data Science
5.0,4.3,2.4,2.4,4.7,2.2,3.6,2.4,1.9,4.7,3.9,3.0,5.0,3.1,2.1,4.5,4.9,2.0,1.9,1.7,1.6,221677.98963892387,3,5.027533312376105,Data Science
4.5,4.5,2.9,3.3,4.4,2.4,4.1,2.6,2.2,2.5,1.0,3.7,4.7,2.9,3.2,3.3,4.4,2.5,2.4,2.3,5.0,252882.546994679,3,3.1553660896619067,Data Science
4.8,4.7,2.5,4.8,4.7,2.8,4.4,3.8,3.0,3.9,1.3,2.3,3.4,5.0,5.0,3.6,4.3,5.0,1.6,2.1,3.2,200318.21739085362,2,4.015042081363455,Linguistics
4.7,4.1,3.3,3.4,5.0,3.3,4.5,2.6,2.5,2.6,3.4,2.6,4.6,5.0,3.9,2.7,5.0,2.6,1.0,1.6,1.1,164181.8932181411,3,5.0984396338296225,Data Science
3.6,3.8,1.9,3.0,4.6,3.2,3.5,1.1,2.2,3.9,4.1,4.7,4.5,3.8,4.0,2.5,4.9,3.7,1.4,3.2,3.0,183916.58526660028,3,2.7421268960463006,Data Science
5.0,4.2,2.9,3.1,5.0,4.0,5.0,4.0,1.4,3.3,1.9,2.5,4.6,3.8,2.1,1.0,4.8,5.0,1.9,2.2,4.8,206562.35785778047,1,2.8676204356437505,Medicine
4.8,5.0,4.3,4.6,4.4,2.0,4.2,3.1,4.1,1.3,4.5,2.8,4.3,2.0,1.3,3.8,4.7,1.7,1.1,2.0,4.7,168318.38918863778,3,2.297485637505515,Data Science
4.8,3.6,4.0,3.0,4.2,2.3,4.3,1.5,3.0,3.4,4.1,3.2,3.8,3.1,1.9,1.9,4.2,1.1,1.6,2.9,5.0,154188.66787469576,1,5.555941471752267,Data Science
3.8,5.0,1.1,2.0,4.1,1.8,4.4,3.3,2.7,2.9,3.5,3.8,3.8,2.6,2.9,3.5,4.4,2.9,2.0,1.8,2.3,184443.55999368007,3,3.395723883210233,Economics
4.6,4.9,3.9,3.9,4.6,3.1,3.5,2.1,3.2,2.3,3.7,3.5,5.0,4.0,3.2,3.7,5.0,2.5,1.8,2.1,2.5,225705.9125278568,2,4.25977286447675,Data Science
4.3,4.2,3.4,3.7,4.6,1.7,4.2,5.0,1.0,3.9,4.1,1.6,4.3,2.0,4.9,4.1,5.0,3.1,2.9,2.2,4.4,173308.66091495007,2,2.9566064666292484,Data Science
4.2,4.7,4.5,4.6,4.2,3.5,4.2,3.8,3.4,1.0,2.7,3.2,3.8,3.6,1.5,2.2,5.0,2.1,2.4,1.1,5.0,166295.0862680734,2,3.4601530945387395,Data Science
3.8,4.5,1.8,3.7,4.5,3.4,3.8,1.0,2.6,2.0,1.2,3.8,5.0,2.2,2.9,2.7,4.4,3.7,2.7,1.7,3.0,237803.98652702523,1,4.051228962571978,Software Engineering
5.0,4.6,3.1,2.3,4.8,3.2,4.4,1.7,1.9,4.1,3.0,3.7,4.5,3.0,3.9,2.5,4.7,2.5,1.7,2.0,3.2,158456.31202514353,2,3.2911781974025636,Data Science
4.6,4.6,1.7,3.0,5.0,3.9,4.4,1.7,3.6,3.7,3.0,4.2,4.2,2.5,1.0,3.9,4.8,1.3,1.0,1.7,3.8,166483.7780360117,2,2.85617046667174,Data Science
4.8,4.8,1.9,3.9,4.5,2.1,4.0,3.8,3.3,3.1,3.2,3.9,4.5,3.1,4.1,2.7,4.9,2.5,1.7,2.1,3.5,233738.1883147981,3,4.636403398391884,Data Science
4.2,4.0,3.6,3.1,4.9,3.2,3.5,4.5,4.8,2.4,2.6,3.3,4.7,3.7,5.0,2.8,4.4,1.6,1.5,2.2,4.8,156707.49154337228,1,3.679030361311119,Data Science
5.0,4.4,4.7,4.1,5.0,3.1,4.4,4.7,2.6,3.5,2.7,2.7,3.9,2.3,2.1,3.6,5.0,2.9,2.2,2.1,2.2,218801.83611585957,2,4.15420215670084,Data Science
3.6,4.4,3.3,4.0,4.1,4.5,4.4,3.3,2.6,3.5,3.0,4.2,3.8,3.2,3.4,2.8,4.5,2.6,2.1,1.1,4.0,158394.06595368672,2,3.6022421578934263,Data Science
5.0,4.0,1.8,4.5,5.0,2.5,4.2,1.8,3.1,4.2,2.5,3.9,4.7,3.6,2.5,2.6,4.0,2.4,2.8,1.6,2.2,208808.54206682058,1,2.4987684606476446,Data Science
5.0,4.4,4.1,3.7,4.8,3.6,4.5,3.6,4.3,3.2,3.7,2.9,5.0,2.3,4.8,3.0,4.1,3.1,1.5,2.7,2.3,159921.74550533493,1,1.988367415243575,Data Science
4.4,4.1,5.0,3.2,5.0,1.9,4.5,3.5,3.0,2.4,2.7,2.6,5.0,3.0,3.5,4.8,4.3,3.0,1.8,2.1,2.8,147065.53114664022,2,4.235442295766204,Data Science
4.8,4.5,3.0,3.6,5.0,4.5,5.0,3.4,2.8,3.1,3.5,3.5,5.0,5.0,2.8,5.0,5.0,2.9,3.0,3.2,2.5,257949.68636185414,1,4.3600662568287705,Computer Science
4.3,4.6,3.6,3.1,4.6,5.0,5.0,3.4,3.0,3.1,3.6,2.0,4.4,1.3,3.4,3.6,4.5,4.6,1.1,1.3,3.2,227119.42361754697,2,3.415686459650139,Data Science
5.0,3.6,2.7,4.1,4.7,3.5,3.7,4.4,3.8,3.4,2.3,3.3,4.4,1.3,2.9,2.8,5.0,1.0,2.2,1.5,3.3,196842.60250097877,2,3.4305241782958467,Data Science
5.0,5.0,2.1,3.1,4.8,2.7,3.3,2.3,5.0,2.4,2.8,1.9,4.8,3.1,2.3,1.7,5.0,1.4,2.4,1.0,3.7,223663.44992670274,3,3.2573532304512414,Data Science
4.7,4.2,2.8,3.5,4.3,2.9,3.8,2.8,3.4,2.4,3.0,3.1,4.7,2.9,4.1,1.0,5.0,2.1,2.3,1.6,3.6,192445.61186677174,2,2.9794291701239284,Economics
4.4,4.5,3.9,3.8,4.7,3.4,5.0,2.9,3.2,4.1,4.1,4.2,4.8,1.9,4.6,1.9,4.8,2.2,2.0,2.4,3.3,198986.4339405878,1,3.0165291444426883,Data Science
4.3,5.0,3.8,3.4,4.9,3.8,4.1,1.5,2.1,1.7,4.2,4.3,5.0,1.0,4.1,5.0,5.0,1.0,3.2,2.2,2.8,200299.288346234,2,2.660794461943611,Data Science
3.2,4.1,3.2,4.3,4.4,3.0,3.7,1.5,4.4,1.2,5.0,3.7,4.8,3.6,2.7,3.4,4.6,3.6,2.0,1.6,2.1,135707.74311183734,3,3.5462364684681753,Data Science
5.0,4.0,3.3,3.0,5.0,1.9,4.3,3.3,3.4,2.4,2.1,2.4,4.8,2.9,3.8,3.5,3.8,3.2,3.6,3.0,3.4,132327.35412885254,1,3.882042972900517,Data Science
3.8,4.1,2.6,4.1,4.5,4.2,4.0,3.3,2.2,5.0,1.8,3.3,4.8,3.4,2.8,2.9,4.7,2.9,2.7,3.5,2.4,118358.8659189415,1,4.033584322750528,Data Science
3.6,4.1,4.7,4.7,4.4,3.4,4.9,3.7,2.7,2.3,3.9,4.1,5.0,1.3,1.7,4.2,4.1,4.2,1.8,1.9,3.2,119458.41964940255,2,4.1592118644786815,Data Science
3.8,4.8,2.1,3.4,4.5,2.5,3.3,2.4,2.2,3.2,3.1,3.4,4.2,3.5,1.4,1.2,3.8,2.5,1.5,2.7,2.4,192301.93565749202,2,3.6536392931920254,Data Science
4.3,4.5,3.1,4.0,5.0,2.2,3.6,1.2,3.5,1.9,1.0,3.4,5.0,3.0,3.8,3.1,4.7,3.9,1.8,2.4,3.3,149935.9295860628,1,4.293633879629218,Data Science
4.2,4.1,3.3,3.9,4.6,3.7,3.3,2.8,2.0,3.3,3.3,2.9,4.8,4.0,2.9,1.9,4.1,3.0,2.2,1.6,3.7,159346.94013789418,1,3.5392427274194858,Data Science
4.4,3.7,1.9,2.6,4.7,2.9,3.6,3.6,4.4,2.4,1.3,2.3,4.9,3.5,2.1,4.5,5.0,2.3,1.5,1.8,2.5,222774.21035677998,2,3.8402632483812753,Data Science
3.7,4.3,2.3,2.2,4.8,3.8,4.0,1.0,2.5,3.4,1.5,3.2,4.5,3.6,3.1,2.0,5.0,2.8,2.0,1.6,2.6,140183.87786878945,2,1.6578424083642267,Data Science
4.2,4.0,1.4,3.7,4.7,4.1,3.7,1.4,2.6,2.9,3.9,4.4,5.0,3.3,3.8,2.4,4.8,1.8,2.0,2.3,4.7,169695.77123293892,1,3.572034270122629,Data Science
5.0,5.0,3.1,3.6,4.6,2.5,3.9,1.0,1.9,1.2,4.3,3.2,4.4,2.3,3.0,2.2,4.8,3.2,1.4,1.7,4.0,177621.3020568915,2,2.9851854156958857,Data Science
5.0,4.4,3.4,4.6,4.8,3.5,4.8,2.6,2.2,2.0,1.0,5.0,3.9,2.8,2.7,3.3,5.0,3.9,1.6,2.1,3.3,168808.89932174038,2,4.785876460815994,Linguistics
5.0,4.8,2.4,3.9,4.7,3.0,4.3,2.9,3.8,3.6,3.0,1.5,4.7,3.7,5.0,4.1,3.9,3.1,3.3,2.6,3.3,220510.28965118562,1,3.389235212812981,Data Science
3.8,4.3,2.5,3.1,4.8,4.7,4.5,1.8,3.4,4.2,2.4,2.9,4.5,2.2,3.6,2.9,4.9,2.1,1.7,2.6,2.6,257713.37330550322,2,3.180291051508318,Data Science
3.5,5.0,4.5,3.0,5.0,2.4,4.4,2.2,5.0,2.7,3.1,2.3,5.0,4.9,4.6,4.0,4.5,3.8,2.0,3.0,4.1,150783.0489865834,2,3.9426181511607594,Data Science
4.2,3.2,3.5,3.8,4.4,2.4,3.6,3.8,3.9,2.1,2.5,2.9,5.0,3.5,2.1,3.3,4.1,3.7,3.2,3.2,3.7,153746.44398593417,1,2.4592785947886995,Economics
2.9,4.0,3.3,3.7,4.4,3.1,4.2,2.0,2.9,3.8,2.0,2.0,4.0,1.1,2.5,3.7,4.8,2.8,2.1,1.9,1.1,215267.34518165546,2,2.0897340129258435,Data Science
3.9,4.5,3.3,4.0,4.6,2.9,4.0,3.9,2.1,1.9,3.6,1.7,5.0,3.1,3.3,2.2,4.6,2.6,1.6,2.6,2.6,225787.55530878817,1,5.630545880095859,Data Science
4.2,3.7,4.4,3.6,5.0,3.9,4.6,2.6,1.9,2.8,1.9,3.7,5.0,2.7,3.9,2.3,4.6,2.2,1.0,2.2,3.1,227963.74494427367,2,3.7860994074591154,Data Science
4.0,4.2,2.6,3.6,4.9,3.4,5.0,2.1,3.1,1.7,2.1,4.3,4.3,2.2,1.0,2.2,4.6,1.6,1.8,3.0,2.3,137547.7627783529,1,2.6008788265079255,Computer Science
5.0,4.3,2.2,3.6,5.0,3.7,4.7,2.6,2.7,3.5,2.5,2.5,4.6,3.8,2.8,1.8,4.4,3.2,2.1,2.3,3.5,180261.47513441026,3,2.6538274815439564,Software Engineering
4.5,3.9,4.1,2.9,4.7,2.4,4.4,2.5,1.7,3.5,2.8,3.3,4.3,1.7,4.1,3.7,4.5,3.1,2.7,1.9,2.7,190963.4625003318,3,3.1327271491563313,Data Science
4.3,3.9,4.5,3.3,5.0,4.5,4.8,2.6,3.4,3.0,2.1,3.3,3.9,4.2,2.5,3.2,4.8,2.7,2.4,1.9,3.9,119430.91438889632,2,1.9511077490571027,Data Science
4.6,4.9,2.1,4.0,4.9,1.8,4.7,3.3,3.7,2.0,3.2,1.3,3.4,3.1,4.1,3.3,4.7,2.8,1.3,2.1,3.4,160414.99952397172,3,4.100469483068621,Data Science
4.8,4.8,4.0,4.9,4.8,5.0,3.9,5.0,2.6,2.7,2.9,2.8,4.5,2.4,3.8,2.4,5.0,4.5,1.8,2.7,3.6,281379.9096998887,2,3.556041730490545,Data Science
5.0,3.9,3.4,4.2,4.8,3.2,4.8,1.0,3.7,2.3,1.2,3.5,5.0,2.9,4.0,4.6,5.0,4.6,2.5,2.2,1.4,168927.18803415232,1,2.8254027237470467,Data Science
4.4,3.5,3.9,3.3,4.9,3.2,4.2,1.4,1.6,1.0,2.4,5.0,3.9,1.0,4.0,5.0,4.8,3.3,1.8,1.1,1.5,165746.1001770667,2,3.8018805622105836,Data Science
4.4,4.0,3.0,2.9,4.7,3.1,3.2,3.0,4.1,2.6,2.3,1.6,3.6,3.8,2.8,3.8,5.0,3.9,1.6,2.3,2.4,148127.01918292517,2,3.774252129922099,Data Science
4.9,4.9,3.4,2.9,5.0,3.1,3.5,2.1,2.5,4.5,4.3,4.3,4.6,3.9,1.9,3.0,4.9,1.9,2.1,3.2,3.6,221289.53429988542,3,2.831236736335443,Data Science
4.4,4.8,3.0,3.1,4.8,4.3,4.2,2.8,2.4,2.7,4.1,3.1,4.1,3.3,4.1,2.4,4.2,5.0,1.0,2.0,3.2,167740.7534440069,1,3.440071324275985,Psychology
5.0,5.0,3.6,2.8,4.5,3.4,3.1,3.3,3.4,4.3,4.2,3.1,5.0,5.0,3.0,3.4,4.0,1.5,1.4,1.9,1.9,178380.20646102412,2,4.0575635236085885,Data Science
4.3,5.0,3.5,3.4,4.8,1.4,3.7,1.8,3.1,4.7,5.0,3.6,4.8,1.2,2.5,2.2,4.5,2.8,1.7,1.0,3.7,131726.5638417087,3,3.6913974912889196,Data Science
4.7,4.2,3.7,3.0,4.2,4.1,4.8,2.4,4.7,2.7,3.1,2.9,4.8,3.3,3.3,2.0,4.0,4.1,1.6,2.2,3.3,253305.43215071707,1,2.9676116682478275,Data Science
5.0,4.3,2.3,3.5,4.8,3.3,4.8,1.6,2.2,3.6,2.3,3.2,3.3,5.0,2.7,4.2,4.6,3.4,3.0,2.9,2.8,173913.55535728385,1,4.302853248146628,Data Science
5.0,4.8,3.3,4.3,5.0,4.3,4.0,4.0,3.2,4.7,2.9,2.6,4.2,3.2,3.5,3.5,4.8,3.7,1.8,1.7,2.0,223877.2992886561,2,5.187555675713967,Data Science
5.0,5.0,3.7,3.8,4.9,2.9,3.5,3.4,2.2,1.9,3.6,2.7,5.0,2.2,2.5,4.2,4.8,1.5,2.2,3.1,2.5,206912.5963403809,2,2.820490467875276,Data Science
5.0,4.3,4.8,4.1,3.6,4.8,3.9,2.0,3.5,1.3,2.3,4.6,4.8,3.8,2.3,1.5,5.0,3.9,2.6,2.3,2.0,289699.63146268786,2,4.160078611734107,Data Science
4.0,4.1,3.0,2.6,4.3,2.5,4.7,3.3,3.2,3.9,2.9,3.4,4.4,3.3,2.4,1.0,4.6,4.4,2.6,2.8,4.2,183989.5915932647,2,3.6578525659244763,Data Science
4.4,3.5,3.2,2.8,5.0,2.7,3.8,2.9,4.3,3.6,3.2,1.7,5.0,2.4,3.9,2.7,5.0,4.3,2.5,2.7,2.9,160471.52360672352,3,3.7977349451776763,Data Science
4.1,4.2,4.8,2.9,4.7,3.1,4.1,3.5,3.6,2.1,3.1,1.9,4.9,3.2,3.1,3.7,4.6,3.9,1.3,3.0,2.4,103671.94195369855,1,3.2371720732298144,Data Science
4.8,4.4,3.7,3.9,4.5,2.4,4.4,4.5,1.8,1.5,3.2,3.1,4.6,3.2,2.8,4.5,4.1,2.2,1.9,1.2,2.8,254766.15745776083,2,3.621295061888504,Data Science
4.5,4.5,1.9,4.4,5.0,4.5,4.5,3.7,2.1,3.8,3.3,2.5,4.9,3.9,3.1,3.4,4.3,4.2,1.4,1.8,3.1,230153.23278983068,2,4.391158906572529,Data Science
3.8,4.3,3.2,3.9,4.6,1.4,4.0,3.2,3.8,2.4,5.0,1.1,4.2,2.9,2.8,1.8,4.9,3.4,2.0,2.4,2.6,107218.66724511445,3,3.0954749120500473,Data Science
4.2,4.7,3.8,4.5,4.2,3.5,4.2,2.9,3.4,3.4,3.5,1.9,4.1,4.5,2.8,3.3,5.0,3.5,2.4,2.7,1.0,157952.24301777594,3,3.8748846371996732,Software Engineering
4.2,4.5,2.9,3.5,5.0,2.8,4.1,2.4,3.7,2.8,2.4,4.3,5.0,2.4,1.1,4.0,4.4,3.8,1.0,2.7,1.8,212884.3853579936,2,2.8568220809544176,Data Science
4.9,3.9,3.8,4.7,4.4,1.1,5.0,3.9,2.5,2.8,1.9,4.4,4.2,1.6,3.2,2.1,4.3,2.6,2.1,1.4,4.4,210472.18704296043,1,3.207709607381815,Data Science
5.0,4.2,2.8,4.2,5.0,3.7,3.8,3.4,3.1,4.1,2.4,1.3,4.8,1.0,2.3,2.0,4.3,2.3,2.9,2.7,2.7,231013.0562336572,2,2.816848233289846,Data Science
3.9,4.2,2.5,4.0,4.3,1.8,4.4,1.7,1.2,3.1,1.3,3.8,3.8,1.0,2.7,3.1,4.9,3.2,1.3,2.6,4.0,125740.70421950077,3,3.355195089072309,Data Science
4.3,5.0,3.4,3.8,4.9,3.4,4.7,2.4,2.4,1.9,3.4,3.8,4.7,4.7,3.0,3.7,4.3,2.6,2.5,2.7,2.7,176778.033666387,3,3.4517688068867107,Data Science
4.8,4.8,2.4,3.6,5.0,4.8,4.3,2.8,3.3,3.2,4.4,2.0,4.4,1.9,2.0,3.4,5.0,2.4,2.5,2.9,4.9,183138.6081978472,2,2.9881883780446934,Data Science
3.8,4.2,3.7,3.4,5.0,2.8,3.6,3.6,2.3,2.8,4.2,1.8,4.6,3.0,3.7,3.9,4.8,2.6,2.3,3.0,3.0,167973.4748509638,2,3.315679428635386,Linguistics
3.9,4.8,4.0,2.2,4.2,1.5,4.0,2.9,1.6,2.1,2.0,3.2,4.5,2.3,3.2,2.5,4.6,4.7,2.9,1.4,3.8,216512.84495212164,1,2.5813893689979053,Data Science
5.0,5.0,1.9,3.6,4.5,2.0,3.7,3.5,3.6,4.3,2.5,2.9,3.8,4.5,3.1,3.7,5.0,4.5,1.4,2.6,3.0,274755.4679853284,3,2.808487143268655,Data Science
4.4,4.6,3.4,2.4,4.4,4.7,4.1,3.0,2.9,4.6,4.3,3.8,4.0,3.4,3.6,2.3,4.4,4.7,1.8,3.2,4.0,198354.45520688946,3,3.8620251490875876,Data Science
3.4,4.4,2.8,4.4,3.9,3.1,4.1,4.5,3.6,2.4,3.9,2.6,5.0,2.8,4.1,3.4,5.0,2.9,2.3,1.9,3.0,58417.418963275166,3,2.466791119123356,Data Science
4.8,3.6,4.5,3.2,4.6,2.3,3.8,3.7,2.8,3.0,2.0,3.9,5.0,2.8,4.3,2.9,5.0,1.4,2.2,2.0,3.2,184980.70825451217,2,3.600559857741587,Data Science
3.8,3.7,3.8,3.5,5.0,1.0,3.6,3.0,3.4,3.8,3.2,3.2,4.3,4.6,1.9,3.4,4.3,3.5,1.3,2.6,3.1,258508.7627966407,2,1.8509396352470864,Medicine
4.8,5.0,2.7,4.3,5.0,2.7,4.1,2.1,2.5,2.2,2.1,4.2,4.1,3.3,3.0,4.5,4.5,3.4,2.6,3.1,2.5,152194.8389070429,1,2.650575156831958,Data Science
4.7,4.9,2.4,3.6,4.2,3.3,3.9,2.6,2.0,3.7,3.9,2.8,4.5,1.6,2.7,2.9,5.0,1.9,3.0,2.8,3.3,259137.921788781,1,4.351291346667771,Data Science
4.4,4.2,3.0,3.7,3.9,4.3,4.3,2.6,1.0,3.0,2.8,2.1,4.2,3.0,2.4,3.6,4.4,3.2,2.8,2.2,3.4,193169.3124330269,1,3.5063975196938126,Data Science
3.4,4.7,2.7,2.7,4.4,2.8,4.0,1.0,3.9,4.3,3.7,1.9,4.4,3.0,3.6,3.7,4.4,3.1,2.3,3.1,3.7,215507.55093189835,3,4.401037247459318,Data Science
5.0,4.0,4.4,2.6,5.0,1.9,4.1,3.6,1.5,4.5,2.6,3.1,5.0,2.2,4.1,4.6,4.4,4.4,1.0,2.4,1.8,222415.58468412852,1,4.188364838737763,Data Science
3.9,4.5,1.7,2.0,4.6,3.5,5.0,5.0,4.3,3.7,3.2,1.5,4.4,4.3,3.9,1.7,4.9,3.5,2.2,2.2,3.7,211379.08675105794,1,3.131938996693201,Data Science
4.5,4.2,3.6,3.1,4.6,1.8,4.9,3.7,2.7,2.5,3.6,2.3,4.6,4.2,2.2,3.4,4.8,2.9,1.6,2.9,2.4,98458.2494491671,1,4.012426873304827,Data Science
4.9,5.0,3.5,4.3,5.0,4.0,4.4,4.0,3.1,3.0,2.6,4.6,4.1,4.5,3.5,1.6,4.8,1.0,2.4,2.7,2.4,185559.6463180012,3,3.149913394594427,Data Science
5.0,4.5,3.7,3.6,4.4,4.6,4.5,2.6,4.3,1.7,5.0,2.8,3.9,4.9,2.5,3.2,5.0,4.2,2.2,1.8,3.2,161130.80046007255,3,3.699209341091619,Data Science
4.0,4.3,3.9,3.7,4.7,3.8,4.5,2.7,2.8,3.2,2.1,4.0,4.6,3.1,4.2,2.9,4.6,2.5,2.2,2.4,2.3,172003.771029897,2,3.3585806695073743,Data Science
3.6,4.2,3.0,3.3,4.5,2.9,4.5,3.9,2.4,1.8,2.0,2.5,4.3,2.2,1.7,2.5,4.8,3.6,1.6,2.0,2.1,178585.23733313507,3,2.821257092647348,Data Science
5.0,5.0,3.1,2.6,4.3,4.0,4.4,2.9,3.3,3.0,4.5,2.3,4.1,1.6,2.5,1.9,4.8,3.0,1.2,2.6,4.5,196102.72569019606,2,3.4608822532207157,Data Science
3.7,4.4,4.6,4.4,4.6,4.0,4.1,1.3,2.1,4.6,2.7,2.8,4.4,4.9,4.6,5.0,4.6,3.3,1.0,3.1,1.8,189754.90036931832,1,2.6221579778937247,Data Science
4.0,4.0,3.6,3.2,4.8,2.8,4.3,3.4,2.6,2.0,2.5,4.2,4.6,2.2,3.4,3.5,4.9,2.0,1.5,1.8,2.6,204251.36333146805,2,4.036080032100122,Data Science
5.0,4.1,3.3,2.6,4.4,3.4,3.5,2.4,2.1,3.1,3.6,3.7,5.0,4.4,3.6,4.9,4.7,2.8,2.4,2.1,4.9,230894.25629108454,3,4.1002225153596115,Data Science
3.8,4.7,2.9,4.9,4.4,3.3,3.6,3.8,2.2,3.7,2.6,1.0,4.6,3.1,3.9,4.6,5.0,3.9,2.2,1.3,3.2,189672.30764725196,2,2.3524277265202507,Data Science
3.9,4.2,4.5,3.3,4.4,1.3,4.0,1.8,2.0,3.1,2.6,4.7,5.0,2.4,2.1,4.4,5.0,1.0,2.1,2.0,3.6,267420.0655872677,1,3.1127543845377614,Data Science
5.0,5.0,2.7,3.3,3.9,2.6,4.8,2.5,3.6,2.8,3.3,1.9,4.5,1.0,2.8,1.4,5.0,3.8,2.3,3.1,2.1,258631.3439062001,2,3.1930476643352126,Data Science
5.0,4.0,4.0,3.1,4.5,4.7,4.1,3.1,3.6,3.2,3.3,2.9,3.8,3.3,2.3,3.8,5.0,1.2,3.0,2.0,2.9,138942.56463694246,3,3.6507741832530214,Data Science
5.0,4.8,3.0,4.1,4.8,3.5,4.4,2.1,2.0,2.9,3.1,2.3,4.7,5.0,1.3,3.6,4.7,3.5,1.7,2.1,3.1,166426.47524091328,3,2.6388021852722865,Data Science
